,unique,num,freq,global
348,SOCIAL WORK,11,17,social work
25,BIOPHYSICS,10,16,biophysics
117,ENTOMOLOGY,10,5,entomology
121,ERGONOMICS,10,46,ergonomics
149,HEMATOLOGY,10,5,hematology
165,IMMUNOLOGY,10,10,immunology
184,LITERATURE,10,32,literature
192,MANAGEMENT,10,822,management
270,PEDIATRICS,10,25,medicine
240,MICROSCOPY,10,15,microscopy
275,PHILOSOPHY,10,19,philosophy
293,PHYSIOLOGY,10,9,physiology
303,PSYCHIATRY,10,25,psychiatry
304,PSYCHOLOGY,10,7,psychology
360,TOXICOLOGY,10,6,toxicology
1,ACOUSTICS,9,43,acoustics
9,ANDROLOGY,9,1,andrology
80,ECONOMICS,9,353,economics
127,FISHERIES,9,3,fisheries
136,GEOGRAPHY,9,99,geography
181,LIMNOLOGY,9,2,water
221,MECHANICS,9,59,mechanics
269,PATHOLOGY,9,41,medicine
349,SOCIOLOGY,9,95,sociology
6,AGRONOMY,8,18,agronomy
27,BUSINESS,8,712,business
41,CLASSICS,8,2,literature
128,FOLKLORE,8,3,folklore
131,FORESTRY,8,14,forestry
373,VIROLOGY,8,1,medicine
256,ONCOLOGY,8,34,oncology
332,RELIGION,8,17,religion
338,ROBOTICS,8,78,robotics
7,ALLERGY,7,1,allergy
24,BIOLOGY,7,26,biology
79,ECOLOGY,7,34,ecology
138,GEOLOGY,7,21,geosciences
150,HISTORY,7,37,history
356,SURGERY,7,94,medicine
252,NURSING,7,60,nursing
358,THEATER,7,14,theater
376,ZOOLOGY,7,10,zoology
122,ETHICS,6,13,ethics
263,OPTICS,6,403,optics
75,DANCE,5,1,dance
191,LOGIC,5,2,logic
244,MUSIC,5,24,music
15,ART,3,122,art
180,LAW,3,102,law
